"Date of News/Twitter","Tweet content/news headline","source of news / person name who has tweeted","label","score",,,,,
"2022-03-05 09:10:39","RT @son__of_adam: Kolaborasi yang sangat strategis untuk masa depan energi yang ramah lingkungan dan mengurari emisi gas. Good job!

Pertam…","stardustch_","POSITIVE",0.510398089885712,,,,,
"2022-03-05 09:10:17","RT @Seputar_Energi_: Pertamina, Pupuk Indonesia dan Mitsubishi Kembangkan Green Hydrogen dan Ammonia

https://t.co/xXK7cwmjIH

#EnergizingY…","zainom99","NEGATIVE",0.992592871189117,,,,,
"2022-03-05 09:10:15","RT @Seputar_Energi_: Pertamina, Pupuk Indonesia dan Mitsubishi Kembangkan Green Hydrogen dan Ammonia

https://t.co/xXK7cwmjIH

#EnergizingY…","stardustch_","NEGATIVE",0.992592871189117,,,,,
"2022-03-05 09:09:51","Pertamina, Pupuk Indonesia dan Mitsubishi Kembangkan Green Hydrogen dan Ammonia. Ketrm nih, Semoga lancaar selaluu 👍💪

https://t.co/lJJDpVwnw7","stardustch_","NEGATIVE",0.992109835147858,,,,,
"2022-03-05 09:09:25","RT @Seputar_Energi_: Pertamina, Pupuk Indonesia dan Mitsubishi Kembangkan Green Hydrogen dan Ammonia

https://t.co/xXK7cwmjIH

#EnergizingY…","norazlina37","NEGATIVE",0.992592871189117,,,,,
"2022-03-05 09:08:19","RT @CETAQUA: 👌 Highly recommended article for #WorldEnergyEfficiencyDay.
It talks about ""The (not) so desired hydrogen"" and about technique…","GENOCOV","POSITIVE",0.99499773979187,,,,,
"2022-03-05 09:08:09","RT @son__of_adam: Kolaborasi yang sangat strategis untuk masa depan energi yang ramah lingkungan dan mengurari emisi gas. Good job!

Pertam…","bintangggterang","POSITIVE",0.510398089885712,,,,,
"2022-03-05 09:07:43","RT @Seputar_Energi_: Pertamina, Pupuk Indonesia dan Mitsubishi Kembangkan Green Hydrogen dan Ammonia

https://t.co/xXK7cwmjIH

#EnergizingY…","bintangggterang","NEGATIVE",0.992592871189117,,,,,
"2022-03-05 09:07:14","RT @pupuk_indonesia: Sahabat, 

PT Pupuk Indonesia (Persero) siap untuk mengembangkan bisnis Green Hydrogen, Green Amnonia Value Chain sert…","desnasyarafina","NEGATIVE",0.974383771419525,,,,,
"2022-03-05 09:07:05","RT @pupuk_indonesia: Pupuk Indonesia sangat optimis dapat memberikan kontribusi yang besar dalam pembangunan dan pengembangan green hydroge…","desnasyarafina","NEGATIVE",0.956254839897156,,,,,
"2022-03-05 09:02:46","RT @thewhyman: The #green #energy revolution promised by nuclear fusion is now a step closer, thanks to the first successful use of a cutti…","education_24x7","POSITIVE",0.998918533325195,,,,,
"2022-03-05 09:02:34","Pertamina, Pupuk Indonesia dan Mitsubishi Kembangkan Green Hydrogen dan Ammonia

https://t.co/HNPTZEgT8y

#EnergizingYou
#EnergizingYourFuture https://t.co/ApGM8zKGx6","docwtor","NEGATIVE",0.992994248867035,,,,,
"2022-03-05 09:01:20","👌 Highly recommended article for #WorldEnergyEfficiencyDay.
It talks about ""The (not) so desired hydrogen"" and about techniques such as methanogenesis to implement a green energy and transport model thanks to the generation of biomethane.
➕ https://t.co/7CNen3CzlL
 
#LIFENimbus https://t.co/ZDSZtvUb1Y","CETAQUA","POSITIVE",0.994398295879364,,,,,
"2022-03-05 09:01:16","RT @bloombergquint: What are the challenges in replacing fossil fuel with green hydrogen? Is green hydrogen the key to a low carbon future?…","eshanimathur5","NEGATIVE",0.993362188339233,,,,,
"2022-03-05 09:00:10","#Sinopec has begun work on a #green #hydrogen #plant near
https://t.co/Sz4ZpUi2yU #China https://t.co/l76TfL6uLQ https://t.co/KkL7XPUKF4","1minconstruct","NEGATIVE",0.991059601306915,,,,,
"2022-03-05 08:59:44","@Michael18070094 @StevensAsh @Frank61pc @Bowenchris Literally in the time it takes to build nuclear, you could build 10x MWh the output solar, wind, wave, with green hydrogen or pumped hydro solutions. You’ve really drowned in the Kool-aid","Madbats69","NEGATIVE",0.997801244258881,,,,,
"2022-03-05 08:58:16","Pertamina, Pupuk Indonesia dan Mitsubishi Kembangkan Green Hydrogen dan Ammonia
Good job 👍 semoga lancar ya 
https://t.co/KKwgoNuXoC","Elsaafrozenn","NEGATIVE",0.964296579360962,,,,,
"2022-03-05 08:58:12","Wah Keren Pertamina, Pupuk Indonesia dan Mitsubishi Kembangkan Green Hydrogen dan Ammonia , Semoga Sukses Ya 👍🏻👍🏻 
https://t.co/SOpdLPFktg","Elsaafrozenn","NEGATIVE",0.993390083312988,,,,,
"2022-03-05 08:57:48","Semangat trus untuk Pertamina, Pupuk Indonesia dan Mitsubishi yang tengah Kembangkan Green Hydrogen dan Ammonia👍 semoga sukses!!
https://t.co/ShLCdsZG6f","Elsaafrozenn","NEGATIVE",0.988026082515717,,,,,
"2022-03-05 08:57:43","Keren nih Pertamina, Pupuk Indonesia dan Mitsubishi Kembangkan Green Hydrogen dan Ammonia
Semoga semua berjalan sesuai harapan 
https://t.co/qgbyoXyvcz","Elsaafrozenn","NEGATIVE",0.992520332336426,,,,,
"2022-03-05 08:57:28","The best bgt Pertamina, Pupuk Indonesia dan Mitsubishi Kembangkan Green Hydrogen dan Ammonia. 
Moga berjalan lancar ✊🏻🤗
https://t.co/m4uL2z64Xn","Elsaafrozenn","POSITIVE",0.980804741382599,,,,,
"2022-03-05 08:56:01","Mantul!! Pertamina, Pupuk Indonesia dan Mitsubishi Kembangkan Green Hydrogen dan Ammonia. . 
Keren nih bersinergi hebat 👍🏻👍🏻
https://t.co/ZAcN30H8qL","LuluMariah4","NEGATIVE",0.992997109889984,,,,,
"2022-03-05 08:55:54","Pertamina, Pupuk Indonesia dan Mitsubishi Kembangkan Green Hydrogen dan Ammonia semoga lancar semuanyaaa support terus 👍👍
https://t.co/rhqVuhRmGX","LuluMariah4","NEGATIVE",0.993820607662201,,,,,
"2022-03-05 08:55:43","@elonmusk The UK and the EU already had hydrogen accelerator projects before this looking to decarbonise industry and increase use of green hydrogen https://t.co/PyuBMabdy8","CryptoNewsUK1","NEGATIVE",0.987101972103119,,,,,
"2022-03-05 08:55:28","Pertamina, Pupuk Indonesia dan Mitsubishi Kembangkan Green Hydrogen dan Ammonia. Semoga sinergi ini berjalan lancar ya
https://t.co/79VHkMhEK9","LuluMariah4","NEGATIVE",0.990420818328857,,,,,
"2022-03-05 08:55:19","Pertamina, Pupuk Indonesia dan Mitsubishi Kembangkan Green Hydrogen dan Ammonia
Wah keren! Semoga berjalan lancar 👍
https://t.co/ri8Dzjr6RM","LuluMariah4","NEGATIVE",0.992197036743164,,,,,
"2022-03-05 08:52:19","RT @energitodayID: Pertamina, PT Pupuk Indonesia dan Mitsubishi Corporation sepakat untuk mengembangkan bisnis Green Hydrogen dan Green Amm…","RofiqStyawan","NEGATIVE",0.973787069320679,,,,,
"2022-03-05 08:52:06","RT @energitodayID: Pertamina, PT Pupuk Indonesia dan Mitsubishi Corporation sepakat untuk mengembangkan bisnis Green Hydrogen dan Green Amm…","ArtOfpol","NEGATIVE",0.973787069320679,,,,,
"2022-03-05 08:49:12","RT @BrucePerens: There is no ""green"" hydrogen. There is just the hydrogen that requires energy-hogging cryogenics to be stored efficiently,…","woelfisch","NEGATIVE",0.997399568557739,,,,,
"2022-03-05 08:47:18","@BJP4Gujarat Today great resolutions for bharat pandya ji for today positive news for remarkable for save our inviroment to connected to our new fuil bio ethanol and green hydrogen for reduce corbon emission and save health for all Indian citizen. To bjp4 gujrat and bharat pandya ji. God bles","MyInfo75815757","POSITIVE",0.994863450527191,,,,,
"2022-03-05 08:46:15","Our view on the future is clear: Green gases like hydrogen &amp; biomethane will help the UK #decarbonise quicker &amp; more affordably than the alternatives. Find out how we’re working with other @energynetworks to make sure #GasGoesGreen  

https://t.co/8cawsYwqAJ","WWUtilities","POSITIVE",0.993161916732788,,,,,
"2022-03-05 08:44:35","RT @mnreindia: The #Budget Webinar brings together industry leaders, policymakers and experts to identify actionable strategies for domesti…","RAJ9602040005","POSITIVE",0.994267821311951,,,,,
"2022-03-05 08:42:15","RT @energitodayID: PERTAMINA, PUPUK INDONESIA DAN MITSUBISHI CORP SEPAKAT KEMBANGKAN BISNIS BLUE/GREEN HYDROGEN DAN AMMONIA
@pertamina
@Kem…","MubarakJuwita","NEGATIVE",0.98134171962738,,,,,
"2022-03-05 08:41:48","RT @energitodayID: PERTAMINA, PUPUK INDONESIA DAN MITSUBISHI CORP SEPAKAT KEMBANGKAN BISNIS BLUE/GREEN HYDROGEN DAN AMMONIA
@pertamina
@Kem…","AnasWildani","NEGATIVE",0.98134171962738,,,,,
"2022-03-05 08:41:18","RT @energitodayID: PERTAMINA, PUPUK INDONESIA DAN MITSUBISHI CORP SEPAKAT KEMBANGKAN BISNIS BLUE/GREEN HYDROGEN DAN AMMONIA
@pertamina
@Kem…","GalihPurba3","NEGATIVE",0.98134171962738,,,,,
"2022-03-05 08:41:12","@energitodayID @pertamina @KemenBUMN Keren nih kolaborasi Pertamina, Pupuk Indonesia dan Mitsubishi Garap Green Hydrogen &amp; Ammonia.","ArtOfpol","NEGATIVE",0.971929728984833,,,,,
"2022-03-05 08:40:51","RT @energitodayID: PERTAMINA, PUPUK INDONESIA DAN MITSUBISHI CORP SEPAKAT KEMBANGKAN BISNIS BLUE/GREEN HYDROGEN DAN AMMONIA
@pertamina
@Kem…","TiaraNo83808723","NEGATIVE",0.98134171962738,,,,,
"2022-03-05 08:40:50","RT @energitodayID: PT Pertamina, PT Pupuk Indonesia dan Mitsubishi Corporation sepakat mengembangkan bisnis Green Hydrogen dan Green Ammoni…","ArtOfpol","NEGATIVE",0.969118893146515,,,,,
"2022-03-05 08:40:24","Consumer Electricity Bills Should Not Be Used to Finance Hydrogen Production, Green Groups Emphasize https://t.co/9a1RfVrPtJ","watt_base","NEGATIVE",0.998156368732452,,,,,
"2022-03-05 08:40:23","RT @energitodayID: PERTAMINA, PUPUK INDONESIA DAN MITSUBISHI CORP SEPAKAT KEMBANGKAN BISNIS BLUE/GREEN HYDROGEN DAN AMMONIA
@pertamina
@Kem…","MeiraniPersada1","NEGATIVE",0.98134171962738,,,,,
"2022-03-05 08:40:14","Nuclear Disaster Vs. Green Hydrogen &amp"," Renewable Energy: Compare &amp"," Contrast https://t.co/23uSREfobV","watt_base","NEGATIVE",0.993917286396027,,,
"2022-03-05 08:39:56","RT @energitodayID: PERTAMINA, PUPUK INDONESIA DAN MITSUBISHI CORP SEPAKAT KEMBANGKAN BISNIS BLUE/GREEN HYDROGEN DAN AMMONIA
@pertamina
@Kem…","DedeIndriastari","NEGATIVE",0.98134171962738,,,,,
"2022-03-05 08:39:21","RT @energitodayID: PERTAMINA, PUPUK INDONESIA DAN MITSUBISHI CORP SEPAKAT KEMBANGKAN BISNIS BLUE/GREEN HYDROGEN DAN AMMONIA
@pertamina
@Kem…","RamadhantyOkky","NEGATIVE",0.98134171962738,,,,,
"2022-03-05 08:38:37","RT @energitodayID: PERTAMINA, PUPUK INDONESIA DAN MITSUBISHI CORP SEPAKAT KEMBANGKAN BISNIS BLUE/GREEN HYDROGEN DAN AMMONIA
@pertamina
@Kem…","AzharVirani","NEGATIVE",0.98134171962738,,,,,
"2022-03-05 08:38:02","RT @energitodayID: PERTAMINA, PUPUK INDONESIA DAN MITSUBISHI CORP SEPAKAT KEMBANGKAN BISNIS BLUE/GREEN HYDROGEN DAN AMMONIA
@pertamina
@Kem…","JovaKarina","NEGATIVE",0.98134171962738,,,,,
"2022-03-05 08:37:12","RT @energitodayID: PERTAMINA, PUPUK INDONESIA DAN MITSUBISHI CORP SEPAKAT KEMBANGKAN BISNIS BLUE/GREEN HYDROGEN DAN AMMONIA
@pertamina
@Kem…","RafaRefika","NEGATIVE",0.98134171962738,,,,,
"2022-03-05 08:36:40","RT @energitodayID: PERTAMINA, PUPUK INDONESIA DAN MITSUBISHI CORP SEPAKAT KEMBANGKAN BISNIS BLUE/GREEN HYDROGEN DAN AMMONIA
@pertamina
@Kem…","NadiaSinta19","NEGATIVE",0.98134171962738,,,,,
"2022-03-05 08:35:53","RT @energitodayID: PERTAMINA, PUPUK INDONESIA DAN MITSUBISHI CORP SEPAKAT KEMBANGKAN BISNIS BLUE/GREEN HYDROGEN DAN AMMONIA
@pertamina
@Kem…","FarahdibaRiana","NEGATIVE",0.98134171962738,,,,,
"2022-03-05 08:35:08","RT @energitodayID: PERTAMINA, PUPUK INDONESIA DAN MITSUBISHI CORP SEPAKAT KEMBANGKAN BISNIS BLUE/GREEN HYDROGEN DAN AMMONIA
@pertamina
@Kem…","AprisilyaCitra","NEGATIVE",0.98134171962738,,,,,
"2022-03-05 08:34:36","Kolaborasi yang sangat strategis untuk masa depan energi yang ramah lingkungan dan mengurari emisi gas. Good job!

Pertamina, Pupuk Indonesia dan Mitsubishi Kembangkan Green Hydrogen dan Ammonia

https://t.co/1JrndE8DYA

#EnergizingYou
#EnergizingYourFuture https://t.co/efnohWcm8z","r1en3goo","NEGATIVE",0.981318175792694,,,,,
"2022-03-05 08:34:21","Mark Cuban-backed blockchain DAO partners with Namibia for sustainability initiative - Ledger Insights https://t.co/QOXcLX0c95","olworkman","NEGATIVE",0.956000626087189,,,,,
"2022-03-05 08:34:16","RT @energitodayID: PERTAMINA, PUPUK INDONESIA DAN MITSUBISHI CORP SEPAKAT KEMBANGKAN BISNIS BLUE/GREEN HYDROGEN DAN AMMONIA
@pertamina
@Kem…","RyanKartika1","NEGATIVE",0.98134171962738,,,,,
"2022-03-05 08:33:48","@JohnDizard of @FinancialTimes explodes myths about a hydrogen-fuelled green economy https://t.co/aseVrIocEz","vshastry","NEGATIVE",0.977572560310364,,,,,
"2022-03-05 08:33:34","RT @energitodayID: PERTAMINA, PUPUK INDONESIA DAN MITSUBISHI CORP SEPAKAT KEMBANGKAN BISNIS BLUE/GREEN HYDROGEN DAN AMMONIA
@pertamina
@Kem…","RamadhanyZulfa","NEGATIVE",0.98134171962738,,,,,
"2022-03-05 08:33:14","Pertamina, Pupuk Indonesia dan Mitsubishi Kembangkan Green Hydrogen dan Ammonia

https://t.co/oFjFTMNBMl

#EnergizingYou
#EnergizingYourFuture https://t.co/FBO3FDRbji","imannizal","NEGATIVE",0.993543744087219,,,,,
"2022-03-05 08:32:39","RT @energitodayID: PERTAMINA, PUPUK INDONESIA DAN MITSUBISHI CORP SEPAKAT KEMBANGKAN BISNIS BLUE/GREEN HYDROGEN DAN AMMONIA
@pertamina
@Kem…","FranclinMichael","NEGATIVE",0.98134171962738,,,,,
"2022-03-05 08:32:02","RT @energitodayID: PERTAMINA, PUPUK INDONESIA DAN MITSUBISHI CORP SEPAKAT KEMBANGKAN BISNIS BLUE/GREEN HYDROGEN DAN AMMONIA
@pertamina
@Kem…","OgieHasan","NEGATIVE",0.98134171962738,,,,,
"2022-03-05 08:31:34","@energitodayID @pertamina @KemenBUMN Kerjasama yg sejalan dengan program pemerintah nih untuk mengembangkan green hydrogen","GustiWildani","NEGATIVE",0.962518751621246,,,,,
"2022-03-05 08:31:29","RT @energitodayID: PERTAMINA, PUPUK INDONESIA DAN MITSUBISHI CORP SEPAKAT KEMBANGKAN BISNIS BLUE/GREEN HYDROGEN DAN AMMONIA
@pertamina
@Kem…","GustiWildani","NEGATIVE",0.98134171962738,,,,,
"2022-03-05 08:30:55","RT @energitodayID: PERTAMINA, PUPUK INDONESIA DAN MITSUBISHI CORP SEPAKAT KEMBANGKAN BISNIS BLUE/GREEN HYDROGEN DAN AMMONIA
@pertamina
@Kem…","RiaErnando","NEGATIVE",0.98134171962738,,,,,
"2022-03-05 08:30:08","@energitodayID @pertamina @KemenBUMN Tiga perusahaan besar yg mendukung program pemerintah untuk menuju transisi energi dengan mengembangkan green hydrogen","HilmanPutri1","NEGATIVE",0.917698442935944,,,,,
"2022-03-05 08:29:55","RT @energitodayID: PERTAMINA, PUPUK INDONESIA DAN MITSUBISHI CORP SEPAKAT KEMBANGKAN BISNIS BLUE/GREEN HYDROGEN DAN AMMONIA
@pertamina
@Kem…","HilmanPutri1","NEGATIVE",0.98134171962738,,,,,
"2022-03-05 08:27:44","Keren nih Pertamina, Pupuk Indonesia dan Mitsubishi Kembangkan Green Hydrogen dan Ammonia
Semoga semua berjalan sesuai harapan 
https://t.co/33fWbnkEUn","imannizal","NEGATIVE",0.991649508476257,,,,,
"2022-03-05 08:23:58","Wah luar biasa nih! Pertamina, Pupuk Indonesia dan Mitsubishi Kembangkan Green Hydrogen dan Ammonia. Semoga berjalan sukses ya💙💙
https://t.co/8i6SICqutF","LuluMariah4","NEGATIVE",0.996231973171234,,,,,
"2022-03-05 08:20:36","Pertamina, Pupuk Indonesia dan Mitsubishi Kembangkan Green Hydrogen dan Ammonia. Semoga lancaar selaluu👍💪
https://t.co/noMolqlmRg","r1en3goo","NEGATIVE",0.99302726984024,,,,,
"2022-03-05 08:08:29","Dick… and I’m still being told that blue #hydrogen is cheaper than green https://t.co/MnYMevXPgc","DrGrahamCooley","NEGATIVE",0.992963135242462,,,,,
"2022-03-05 08:05:30","RT @energitodayID: Pertamina, PT Pupuk Indonesia dan Mitsubishi Corporation sepakat untuk mengembangkan bisnis Green Hydrogen dan Green Amm…","Editajayaa","NEGATIVE",0.973787069320679,,,,,
"2022-03-05 08:03:29","RT @energitodayID: PT Pertamina, PT Pupuk Indonesia dan Mitsubishi Corporation sepakat mengembangkan bisnis Green Hydrogen dan Green Ammoni…","Editajayaa","NEGATIVE",0.969118893146515,,,,,
"2022-03-05 08:00:50","India Can Become Global Hub of Green Hydrogen, Advantage With Ample Renewable Resources: PM Modi https://t.co/SYtFsFC5Bf","EINRenewables","POSITIVE",0.997096419334412,,,,,
"2022-03-05 08:00:15","🌏 Hot on Blockchain

@dClimateDAO partners with Namibia to quantify their carbon impact.

dClimate will establish a blockchain-based registry system quantifying Namibia's carbon sequestration, emissions &amp; carbon credits from green hydrogen projects.

👇 https://t.co/Wyzzi3MBLu","ToucanProtocol","NEGATIVE",0.914079904556274,,,,,
"2022-03-05 07:59:47","@EpodNeo @Frank61pc @venturescott @mcannonbrookes Hint: hydrogen can, and is, being used to smelt iron ore. Volvo has already used hydrogen smelted steel on a trial basis.
https://t.co/4l7p6P5ZQh","NeilJB1","NEGATIVE",0.990306973457336,,,,,
"2022-03-05 07:57:59","PERTAMINA, PUPUK INDONESIA DAN MITSUBISHI CORP SEPAKAT KEMBANGKAN BISNIS BLUE/GREEN HYDROGEN DAN AMMONIA
@pertamina
@KemenBUMN
#Pertamina
#EnergyToday
#EnergyTodayID https://t.co/rJ05bqKm7P","energitodayID","NEGATIVE",0.986712455749512,,,,,
"2022-03-05 07:55:36","RT @energitodayID: Pertamina, PT Pupuk Indonesia dan Mitsubishi Corporation sepakat untuk mengembangkan bisnis Green Hydrogen dan Green Amm…","Butterf366","NEGATIVE",0.973787069320679,,,,,
"2022-03-05 07:55:03","RT @cleantechnica: Consumer Electricity Bills Should Not Be Used to Finance Hydrogen Production, Green Groups Emphasize https://t.co/m8Zyqe…","energyredefined","NEGATIVE",0.998369872570038,,,,,
